url,titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places,average_rating_flo,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com/book/show/23438288-flawed,Flawed,Cecelia Ahern,29512,3851,4.11,324,2016,Flawed #1,"Fantasy, Young Adult, Fiction",Evergreen Teen Book Award (2019),,4.11,8.398,2.0795499999999993
https://www.goodreads.com/book/show/1003985.Epic,Epic,Conor Kostick,6366,565,3.96,384,2004,Epic #1,"Science Fiction, Fiction, Science Fiction",Rhode Island Teen Book Award Nominee (2009),,3.96,8.128,1.8095499999999989
https://www.goodreads.com/book/show/27416811-rotter-apocalypse,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Science Fiction, Dystopia",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/13576244-rotter-world,Rotter World,Scott M. Baker,127,30,4.11,300,2012,Rotter Trilogy #1,"Science Fiction, Science Fiction, Dystopia",Not found,,4.11,8.398,2.0795499999999993
https://www.goodreads.com/book/show/45887744-the-feral-children,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Fiction, Apocalyptic",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/387373.Swastika_Night,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Science Fiction, Dystopia",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/142181.The_Inverted_World,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Fiction, Mystery",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/34813838-that-which-clouds-the-soul,"That, Which Clouds the Soul",Nicolas Ryan Moore,29,1,4.38,120,Not found,,"Fiction, Science Fiction, Apocalyptic",Not found,,4.38,8.884,2.565549999999999
https://www.goodreads.com/book/show/40992.Shadow_Claw,Shadow & Claw,Gene Wolfe,17281,1219,4.02,413,Not found,The Book of the New Sun #1-2 ,"Fantasy, Fiction, Humor",Not found,,4.02,8.236,1.917549999999998
https://www.goodreads.com/book/show/17262203-maddaddam,MaddAddam,Margaret Atwood,69459,5561,4.00,394,2013,MaddAddam #3,"Fiction, Philosophy, Fantasy","Locus Award Nominee for Best SF Novel (2014), Orion Book Award for Fiction (2014), Tähtivaeltaja Award (2016), Women's Prize for Fiction Nominee for Longlist (2014), Goodreads Choice Award for Science Fiction (2013)",,4.0,8.2,1.881549999999999
https://www.goodreads.com/book/show/2331954.Infected,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Young Adult, Fantasy, Fantasy",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/20640755-the-book-of-ivy,The Book of Ivy,Amy Engel,20578,2816,4.14,282,Not found,The Book of Ivy #1,"Science Fiction, Short Stories, Science Fiction","Georgia Peach Book Award (2016), Colorado Romance Writers Award of Excellence Nominee for Young Adult Fiction (2015), Missouri Gateway Readers Award (2017)",,4.14,8.452,2.1335499999999987
