 titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places
Matched,Ally Condie,714898,34198,3.64,369,Not found,Matched #1,"Young Adult, Science Fiction, Dystopia","Whitney Award for Best Youth Speculative Fiction (2010), South Carolina Book Award for Young Adult (2013), Teen Buckeye Book Award (2012), Pennsylvania Young Readers' Choice Award for Young Adults (2012), Rhode Island Teen Book Award (2012), California Young Readers Medal for Young Adult (2013), Lincoln Award Nominee (2013), AML Award for Young Adult Literature (2010), Literaturpreis der Jury der jungen Leser for Jugendbuch (2011), Carnegie Medal Nominee (2012), Missouri Gateway Readers Award Nominee (2013) ",
V for Vendetta,Alan Moore,287451,6224,4.25,296,1990,V for Vendetta #1-10,"Sequential Art, Graphic Novels, Sequential Art","Prometheus Hall of Fame Award (2006), Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)",United Kingdom
Never Let Me Go,Kazuo Ishiguro,556690,38543,3.84,288,2005,,"Fiction, Science Fiction, Science Fiction","Booker Prize Nominee (2005), Locus Award Nominee for Best SF Novel (2006), Arthur C. Clarke Award Nominee (2006), James Tait Black Memorial Prize Nominee for Fiction (2005), ALA Alex Award (2006), National Book Critics Circle Award Nominee for Fiction (2005), Corine Internationaler Buchpreis for Belletristik (2006), International Dublin Literary Award Nominee (2007) ","Hailsham,England,United Kingdom"
Unwind,Neal Shusterman,209238,19841,4.16,337,Not found,Unwind Dystology #1,"Young Adult, Science Fiction, Dystopia","Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010), California Young Readers Medal Nominee for Young Adult (2011), Gouden Lijst Nominee (2013), Green Mountain Book Award (2010), Missouri Gateway Readers Award Nominee (2010), Oklahoma Sequoyah Award for Intermediate (2010) ","Akron - Ohio,Ohio,Scottsburg - Indiana,…more,Arizona,Joplin - Missouri,…less"
Oryx and Crake,Margaret Atwood,242088,14730,4.01,389,2003,MaddAddam #1,"Fiction, Science Fiction, Science Fiction","Booker Prize Nominee (2003), Orange Prize Nominee for Fiction Shortlist (2004), Sunburst Award Nominee for Canadian Novel (2004), Scotiabank Giller Prize Nominee (2003), Grand Prix de l'Imaginaire Nominee for Roman étranger (2006)",
Ready Player One,Ernest Cline,1000517,94266,4.24,374,Not found,Ready Player One #1,"Science Fiction, Fiction, Young Adult","Locus Award Nominee for Best First Novel (2012), John W. Campbell Memorial Award Nominee (2012), Prometheus Award for Best Novel (2012), ALA Alex Award (2012), Lincoln Award Nominee (2014), Tähtivaeltaja Award Nominee (2013), Mary Shelley Award for Outstanding Fictional Work (2016), Premi Ictineu for Millor novel·la traduïda (2017), Goodreads Choice Award Nominee for Science Fiction and for Favorite Book (2011), Green Mountain Book Award Nominee (2015), Seiun Award 星雲賞 Nominee for Best Translated Novel (2015) ","Columbus - Ohio,The United States of America,Ohio,…more,OASIS,…less"
World War Z: An Oral History of the Zombie War,Max Brooks,478616,27245,4.01,342,Not found,World War Z,"Horror, Fiction, Horror","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)",
Legend,Marie Lu,470556,32517,4.16,305,Not found,Legend #1,"Young Adult, Science Fiction, Dystopia","Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Lincoln Award Nominee (2014), Missouri Truman Readers Award (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Rebecca Caudill Young Readers' Book Award (2015) ",Los Angeles - The Republic of America
Do Androids Dream of Electric Sheep?,Philip K. Dick,390343,15346,4.09,244,1968,Blade Runner #1,"Science Fiction, Fiction, Classics",Nebula Award Nominee for Best Novel (1968),"San Francisco - California,California,The United States of America"
Watchmen,Alan Moore,516406,15444,4.37,416,1987,Watchmen #1-12,"Sequential Art, Graphic Novels, Sequential Art","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992), Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005) ",New York City - New York
The City of Ember,Jeanne DuPrau,263477,11890,3.88,270,Not found,Book of Ember  #1,"Young Adult, Science Fiction, Dystopia","California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Vermont Golden Dome Book Award Nominee (2005), Child Magazine Best Book of the Year, Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006) ",
Slaughterhouse-Five,Kurt Vonnegut Jr.,1227383,31174,4.08,275,1969,,"Classics, Fiction, Science Fiction","Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)","Dresden,Tralfamadore,Ilium,…more,Ardennes,…less"
Wool Omnibus,Hugh Howey,173120,14236,4.21,509,Not found,Silo #1,"Science Fiction, Fiction, Science Fiction","Tähtivaeltaja Award Nominee (2014), Prix des libraires du Québec (2015), Bookworm Best Award for People's Pick (2013), Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)",
The Time Machine,H.G. Wells,459839,12899,3.9,118,1895,,"Classics, Science Fiction, Fiction",Not found,"United Kingdom,London - England,England"
Cinder,Marissa Meyer,795187,60792,4.13,400,Not found,The Lunar Chronicles #1,"Young Adult, Fantasy, Science Fiction","Golden Duck Award for Young Adult (Hal Clement Award) (2013), Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2014), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014), Rhode Island Teen Book Award Nominee (2014), California Young Readers Medal for Young Adult (2016), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012), Rebecca Caudill Young Readers' Book Award Nominee (2016) ",New Beijing - Eastern Commonwealth
I Am Legend and Other Stories,Richard Matheson,124744,5240,4.0,317,1954,,"Horror, Fiction, Science Fiction",Not found,Los Angeles - California
Battle Royale,Koushun Takami,67408,5980,4.21,617,1999,,"Fiction, Horror, Science Fiction",Not found,Japan
The Selection,Kiera Cass,1197583,61859,4.11,336,Not found,The Selection #1,"Young Adult, Romance, Science Fiction","Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)",
Anthem,Ayn Rand,141172,10008,3.63,105,1938,,"Fiction, Classics, Science Fiction","Prometheus Hall of Fame Award (1987), Retro Hugo Award Nominee for Best Novella (2014)",
The Gunslinger,Stephen King,551881,21012,3.94,231,1982,The Dark Tower #1,"Fantasy, Fiction, Horror",Not found,
The Passage,Justin Cronin,200212,20014,4.03,766,Not found,The Passage #1,"Horror, Fiction, Science Fiction","Locus Award Nominee for Best SF Novel (2011), Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)","Telluride - Colorado,Las Vegas - Nevada,Roswell - New Mexico,…more,Colorado,…less"
We,Yevgeny Zamyatin,81795,5635,3.91,226,1924,,"Fiction, Science Fiction, Classics",Not found,OneState
Life As We Knew It,Susan Beth Pfeffer,124002,10108,3.88,337,Not found,Last Survivors #1,"Young Adult, Science Fiction, Dystopia","Buxtehuder Bulle (2010), South Carolina Book Award Nominee for Young Adult Book (2009), Rhode Island Teen Book Award Nominee (2008), Evergreen Teen Book Award (2009), The Inky Awards Nominee for Silver Inky (2008), California Young Readers Medal Nominee for Young Adult (2009), Andre Norton Award Nominee (2006), Missouri Truman Readers Award (2009), Missouri Gateway Readers Award Nominee (2009), Rebecca Caudill Young Readers' Book Award Nominee (2009) ","Pennsylvania,Howell - Pennsylvania"
