 titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places
The Darkest Minds,Alexandra Bracken,171011,17578,4.16,488,Not found,The Darkest Minds #1,"Young Adult, Science Fiction, Dystopia","Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)",Not found
The Postman,David Brin,33404,1432,3.89,321,1985,,"Science Fiction, Fiction, Apocalyptic","Hugo Award Nominee for Best Novel (1986), Nebula Award Nominee for Best Novel (1985), Locus Award for Best Science Fiction Novel (1986), John W. Campbell Memorial Award for Best Science Fiction Novel (1986), SF Chronicle Award Nominee for Novel (1986)",Pacific Northwest
The Running Man,Richard Bachman,113696,3995,3.89,317,1982,,"Horror, Fiction, Science Fiction",Not found,Not found
Incarceron,Catherine Fisher,60547,5409,3.64,458,Not found,Incarceron #1,"Fantasy, Young Adult, Science Fiction","Mythopoeic Fantasy Award Nominee for Children’s Literature (2011), Milwaukee County Teen Book Award Nominee (2011), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2007), Carnegie Medal Nominee (2008)",Not found
Planet of the Apes,Pierre Boulle,36664,1766,3.97,268,1963,,"Science Fiction, Fiction, Classics",Not found,Soror
A Scanner Darkly,Philip K. Dick,97171,3500,4.02,219,1977,,"Science Fiction, Fiction, Science Fiction","Locus Award Nominee for Best SF Novel (1978), British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)",Santa Ana - California
Cell,Stephen King,206838,6542,3.66,449,2006,,"Horror, Fiction, Horror",Not found,"The United States of America,Maine,Massachusetts"
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,87005,3640,4.16,499,1995,,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (1996), Nebula Award Nominee for Best Novel (1996), Locus Award for Best Science Fiction Novel (1996), Arthur C. Clarke Award Nominee (1996), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1996), Prometheus Award Nominee for Best Novel (1996) ","China,Shanghai"
I Am Legend,Richard Matheson,111252,7140,4.06,162,1954,,"Horror, Science Fiction, Fiction",Tähtivaeltaja Award (2008),Los Angeles - California
Blood Red Road,Moira Young,61956,5832,3.91,459,Not found,Dust Lands #1,"Young Adult, Science Fiction, Dystopia","Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012), Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013) ",Not found
Shades of Grey,Jasper Fforde,34072,4371,4.15,400,2009,Shades of Grey #1,"Fantasy, Fiction, Science Fiction","Locus Award Nominee for Best Fantasy Novel (2011), Warwick Prize for Writing Nominee for Longlist (2011), Prix Julia Verlanger (2012)",Not found
Dune,Frank Herbert,1033900,42983,4.25,658,1965,Dune #1,"Science Fiction, Fiction, Fantasy","Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award 星雲賞 for Best Foreign Novel (1974)","Arrakis,Caladan,Giedi Prime,…more,Harko,Arrakin,Sietch Tabr,…less"
The Windup Girl,Paolo Bacigalupi,71651,6689,3.74,359,Not found,The Windup Universe #1,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (2010), Nebula Award for Best Novel (2009), Locus Award for Best First Novel (2010), Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2012), British Science Fiction Association Award Nominee for Novel (2010), John W. Campbell Memorial Award (2010), Compton Crook Award (2010), Grand Prix de l'Imaginaire for Roman étranger et Traduction (2013), Premio Ignotus for Mejor novela extranjera (2012), Prix Bob Morane for roman traduit (2013), Cena Akademie SFFH for Kniha roku (Book of the Year) (2011), Goodreads Choice Award Nominee for Science Fiction (2009), Prix Une autre Terre (2013) ",Bangkok
Birthmarked,Caragh M. O'Brien,48661,3648,3.88,361,Not found,Birthmarked #1,"Young Adult, Science Fiction, Dystopia","Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)",Not found
Lucifer's Hammer,Larry Niven,41977,1504,3.99,629,1977,,"Science Fiction, Fiction, Apocalyptic",Hugo Award Nominee for Best Novel (1977),California
Earth Abides,George R. Stewart,27235,2208,3.95,345,1949,,"Science Fiction, Fiction, Apocalyptic",International Fantasy Award for Fiction (1951),The United States of America
Cloud Atlas,David Mitchell,232723,20429,4.0,509,2004,,"Fiction, Science Fiction, Fantasy","Booker Prize Nominee (2004), Nebula Award Nominee for Best Novel (2004), Locus Award Nominee for Best SF Novel (2005), Arthur C. Clarke Award Nominee (2005), James Tait Black Memorial Prize Nominee for Fiction (2004), British Book Award for Best Read of the Year (2005), National Book Critics Circle Award Nominee for Fiction (2004), Geoffrey Faber Memorial Prize (2005), Tähtivaeltaja Award Nominee (2009), The Rooster -- The Morning News Tournament of Books (2005) ","Chatham Islands,Neerbeke - West Vlaanderen,Buenas Yerbas,…more,London - England,Seoul - South Korea,Maui - Hawaii,…less"
Logan's Run,William F. Nolan,10823,695,3.66,149,1967,Logan #1,"Science Fiction, Science Fiction, Dystopia",Not found,"Los Angeles - California,South Dakota"
Stranger in a Strange Land,Robert A. Heinlein,291797,8743,3.92,525,1961,,"Science Fiction, Fiction, Classics","Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)",Not found
The V Girl: a Coming of Age Story,Mya Robarts,13984,1521,4.01,340,Not found,,"Romance, Young Adult, Coming Of Age",Not found,Starville
Player Piano,Kurt Vonnegut Jr.,50006,2214,3.88,341,1952,,"Fiction, Science Fiction, Classics",International Fantasy Award Nominee for Fiction (1953),Ilium
The Girl with All the Gifts,M.R. Carey,204958,21027,3.94,461,2014,The Girl With All the Gifts #1,"Horror, Fiction, Science Fiction","Arthur C. Clarke Award Nominee (2015), Audie Award for Paranormal (2015), British Fantasy Award Nominee for August Derleth Award (best horror novel) (2015), Tähtivaeltaja Award Nominee (2017), Goodreads Choice Award Nominee for Horror (2014), James Herbert Award Nominee (2015) ",London - England
The Gate to Women's Country,Sheri S. Tepper,12688,813,4.06,315,1987,,"Science Fiction, Fiction, Fantasy","Locus Award for Best Fantasy Novel (1992), Arthur C. Clarke Award Nominee (1998)",Marthatown
Feed,Mira Grant,55309,6533,3.86,599,2010,Newsflesh #1,"Horror, Horror, Zombies","Hugo Award Nominee for Best Novel (2011), Locus Award Nominee for Best SF Novel (2011), Shirley Jackson Award Nominee for Novel (Finalist) (2010), Goodreads Choice Award for Science Fiction (2010)",Not found
Ship Breaker,Paolo Bacigalupi,44259,4534,3.74,326,Not found,Ship Breaker #1,"Young Adult, Science Fiction, Science Fiction","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011), Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013) ",New Orleans - Louisiana
Coilhunter,Dean F. Wilson,947,131,4.13,210,2017,The Coilhunter Chronicles #1,"Science Fiction, Science Fiction, Steampunk",Not found,Not found
