The Martian Chronicles,Ray Bradbury,232740,9149,4.15,182,1950,,"Science Fiction, Fiction, Classics",Analog Award Nominee for All-Time Best Book (1952),Mars
"Alas, Babylon",Pat Frank,42105,3416,4.08,323,1959,,"Fiction, Science Fiction, Apocalyptic",Audie Award for Fiction (2012),"Fort Repose - Florida,Florida,Omaha - Nebraska,…more,Syria,…less"
Utopia,Thomas More,65772,3405,3.55,163,1516,,"Classics, Philosophy, Fiction",Not found,"Antwerp,Utopia"
The Chrysalids,John Wyndham,48170,2588,3.93,200,1955,,"Science Fiction, Fiction, Classics",Złota Sepulka for Książka autora zagranicznego (1985),Labrador
On the Beach,Nevil Shute,38946,2857,3.95,296,1957,,"Fiction, Science Fiction, Apocalyptic",Not found,"Australia,Melbourne - Victoria"
Swan Song,Robert R. McCammon,59822,4034,4.28,956,Not found,,"Horror, Fiction, Apocalyptic","Bram Stoker Award for Best Novel (1987), World Fantasy Award Nominee for Best Novel (1988), Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1994)","New York City - New York,West Virginia,Kansas,…more,Pennsylvania,Salt Lake City - Utah,Idaho,…less"
The Forever War,Joe Haldeman,151606,6452,4.14,278,1974,The Forever War #1,"Science Fiction, Fiction, War","Hugo Award for Best Novel (1976), Nebula Award for Best Novel (1975), Locus Award for Best Novel (1976), Ditmar Award for Best International Long Fiction (1976)",Not found
The Darkest Minds,Alexandra Bracken,171011,17578,4.16,488,Not found,The Darkest Minds #1,"Young Adult, Science Fiction, Dystopia","Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)",Not found
The Postman,David Brin,33404,1432,3.89,321,1985,,"Science Fiction, Fiction, Apocalyptic","Hugo Award Nominee for Best Novel (1986), Nebula Award Nominee for Best Novel (1985), Locus Award for Best Science Fiction Novel (1986), John W. Campbell Memorial Award for Best Science Fiction Novel (1986), SF Chronicle Award Nominee for Novel (1986)",Pacific Northwest
The Running Man,Richard Bachman,113696,3995,3.89,317,1982,,"Horror, Fiction, Science Fiction",Not found,Not found
Incarceron,Catherine Fisher,60547,5409,3.64,458,Not found,Incarceron #1,"Fantasy, Young Adult, Science Fiction","Mythopoeic Fantasy Award Nominee for Children’s Literature (2011), Milwaukee County Teen Book Award Nominee (2011), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2007), Carnegie Medal Nominee (2008)",Not found
Planet of the Apes,Pierre Boulle,36664,1766,3.97,268,1963,,"Science Fiction, Fiction, Classics",Not found,Soror
A Scanner Darkly,Philip K. Dick,97171,3500,4.02,219,1977,,"Science Fiction, Fiction, Science Fiction","Locus Award Nominee for Best SF Novel (1978), British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)",Santa Ana - California
Cell,Stephen King,206838,6542,3.66,449,2006,,"Horror, Fiction, Horror",Not found,"The United States of America,Maine,Massachusetts"
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,87005,3640,4.16,499,1995,,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (1996), Nebula Award Nominee for Best Novel (1996), Locus Award for Best Science Fiction Novel (1996), Arthur C. Clarke Award Nominee (1996), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1996), Prometheus Award Nominee for Best Novel (1996) ","China,Shanghai"
I Am Legend,Richard Matheson,111252,7140,4.06,162,1954,,"Horror, Science Fiction, Fiction",Tähtivaeltaja Award (2008),Los Angeles - California
Blood Red Road,Moira Young,61956,5832,3.91,459,Not found,Dust Lands #1,"Young Adult, Science Fiction, Dystopia","Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012), Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013) ",Not found
Shades of Grey,Jasper Fforde,34072,4371,4.15,400,2009,Shades of Grey #1,"Fantasy, Fiction, Science Fiction","Locus Award Nominee for Best Fantasy Novel (2011), Warwick Prize for Writing Nominee for Longlist (2011), Prix Julia Verlanger (2012)",Not found
Dune,Frank Herbert,1033900,42983,4.25,658,1965,Dune #1,"Science Fiction, Fiction, Fantasy","Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award 星雲賞 for Best Foreign Novel (1974)","Arrakis,Caladan,Giedi Prime,…more,Harko,Arrakin,Sietch Tabr,…less"
The Windup Girl,Paolo Bacigalupi,71651,6689,3.74,359,Not found,The Windup Universe #1,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (2010), Nebula Award for Best Novel (2009), Locus Award for Best First Novel (2010), Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2012), British Science Fiction Association Award Nominee for Novel (2010), John W. Campbell Memorial Award (2010), Compton Crook Award (2010), Grand Prix de l'Imaginaire for Roman étranger et Traduction (2013), Premio Ignotus for Mejor novela extranjera (2012), Prix Bob Morane for roman traduit (2013), Cena Akademie SFFH for Kniha roku (Book of the Year) (2011), Goodreads Choice Award Nominee for Science Fiction (2009), Prix Une autre Terre (2013) ",Bangkok
